year,title,artist,link_title,youtube_id,search_url
2011,Born this way,Lady Gaga,Lady Gaga - Born This Way (Official Music Video),wV1FrqwZyKw,https://www.youtube.com/results?search_query=Lady%20Gaga%20-%20Born%20This%20Way%20%28Official%20Music%20Video%29
2011,Someone like you,Adele,Adele - Someone Like You (Official Music Video),hLQl3WQQoQ0,https://www.youtube.com/results?search_query=Adele%20-%20Someone%20Like%20You%20%28Official%20Music%20Video%29
2012,Something Special,Miguel Campbell,Miguel Campbell - Something Special (Original Mix),nEJHueJiBvc,https://www.youtube.com/results?search_query=Miguel%20Campbell%20-%20Something%20Special%20%28Original%20Mix%29
2012,Diamonds,Rihanna,Rihanna - Diamonds,lWA2pjMjpBs,https://www.youtube.com/results?search_query=Rihanna%20-%20Diamonds
2012,Set fire to the rain,Adele,Set Fire to the Rain,a2giXO6eyuI,https://www.youtube.com/results?search_query=Set%20Fire%20to%20the%20Rain
2012,Locked out of heaven,Bruno Mars,Bruno Mars - Locked Out Of Heaven (Official Music Video),e-fA-gBCkj0,https://www.youtube.com/results?search_query=Bruno%20Mars%20-%20Locked%20Out%20Of%20Heaven%20%28Official%20Music%20Video%29
2012,Titanium,Sia,David Guetta - Titanium ft. Sia (Official Video),JRfuAukYTKg,https://www.youtube.com/results?search_query=David%20Guetta%20-%20Titanium%20ft.%20Sia%20%28Official%20Video%29
2013,When I was your man,Bruno Mars,Bruno Mars - When I Was Your Man (Official Music Video),ekzHIouo8Q4,https://www.youtube.com/results?search_query=Bruno%20Mars%20-%20When%20I%20Was%20Your%20Man%20%28Official%20Music%20Video%29
2013,Pour It Up,Rihanna,Rihanna - Pour It Up (Explicit),ehcVomMexkY,https://www.youtube.com/results?search_query=Rihanna%20-%20Pour%20It%20Up%20%28Explicit%29
2013,Get Lucky,Daft Punk,"Daft Punk - Get Lucky (Official Audio) ft. Pharrell Williams, Nile Rodgers",5NV6Rdv1a3I,https://www.youtube.com/results?search_query=Daft%20Punk%20-%20Get%20Lucky%20%28Official%20Audio%29%20ft.%20Pharrell%20Williams%2C%20Nile%20Rodgers
2013,Your Friend - Original,Gregor Salto,"Gregor Salto feat Chappell - Your friend (original)",BzHmGQZFCN0,https://www.youtube.com/results?search_query=Gregor+Salto+feat+Chappell+-+Your+friend+(original)
2013,Just give me a reason,Pink,P!nk - Just Give Me A Reason ft. Nate Ruess,OpQFFLBMEPI,https://www.youtube.com/results?search_query=P%21nk%20-%20Just%20Give%20Me%20A%20Reason%20ft.%20Nate%20Ruess
2014,Happy,Pharrel Williams,Pharrell Williams - Happy (Official Video),ZbZSe6N_BXs,https://www.youtube.com/results?search_query=Pharrell%20Williams%20-%20Happy%20%28Official%20Video%29
2014,All of Me,John Legend,John Legend - All of Me (Official Video),450p7goxZqg,https://www.youtube.com/results?search_query=John%20Legend%20-%20All%20of%20Me%20%28Official%20Video%29
2014,Latch,Disclosure,Disclosure - Latch ft. Sam Smith,93ASUImTedo,https://www.youtube.com/results?search_query=Disclosure%20-%20Latch%20ft.%20Sam%20Smith
2014,Rather Be,Clean Bandit,Clean Bandit - Rather Be ft. Jess Glynne [Official Video],m-M1AtrxztU,https://www.youtube.com/results?search_query=Clean%20Bandit%20-%20Rather%20Be%20ft.%20Jess%20Glynne%20%5BOfficial%20Video%5D
2014,La La La,Naughty Boy,Naughty Boy - La la la ft. Sam Smith (Official Video),3O1_3zBUKM8,https://www.youtube.com/results?search_query=Naughty%20Boy%20-%20La%20la%20la%20ft.%20Sam%20Smith%20%28Official%20Video%29
2015,Earned It,The Weekend,The Weeknd - Earned It (Fifty Shades Of Grey),xe_iCkFsQKE,https://www.youtube.com/results?search_query=The%20Weeknd%20-%20Earned%20It%20%28Fifty%20Shades%20Of%20Grey%29
2015,The Hills,The Weekend,The Weeknd - The Hills,yzTuBuRdAyA,https://www.youtube.com/results?search_query=The%20Weeknd%20-%20The%20Hills
2015,How deep is your love,Calvin Harris,Calvin Harris & Disciples - How Deep Is Your Love,EgqUJOudrcM,https://www.youtube.com/results?search_query=Calvin%20Harris%20%26%20Disciples%20-%20How%20Deep%20Is%20Your%20Love
2015,Thinking out loud,Ed Sheeran,Ed Sheeran - Thinking Out Loud (Official Music Video),lp-EO5I60KA,https://www.youtube.com/results?search_query=Ed%20Sheeran%20-%20Thinking%20Out%20Loud%20%28Official%20Music%20Video%29
2015,Can’t feel my face,The Weekend,The Weeknd - Can't Feel My Face (Official Video),KEI4qSrkPAs,https://www.youtube.com/results?search_query=The%20Weeknd%20-%20Can%27t%20Feel%20My%20Face%20%28Official%20Video%29
2016,I’m Yours,Alessia Cara,Alessia Cara - I’m Yours (Official Audio),A3tgV5Uoduo,https://www.youtube.com/results?search_query=Alessia%20Cara%20-%20I%E2%80%99m%20Yours%20%28Official%20Audio%29
2016,Work,Rihanna,Rihanna - Work (Explicit) ft. Drake,HL1UzIK-flA,https://www.youtube.com/results?search_query=Rihanna%20-%20Work%20%28Explicit%29%20ft.%20Drake
2016,Can’t stop the feeling,Justin Timberlake,"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"") (Official Video)",ru0K8uYEZWw,https://www.youtube.com/results?search_query=Justin%20Timberlake%20-%20CAN%27T%20STOP%20THE%20FEELING%21%20%28from%20DreamWorks%20Animation%27s%20%22TROLLS%22%29%20%28Official%20Video%29
2016,Pillowtalk,ZAYN,ZAYN - PILLOWTALK (Official Video),C_3d6GntKbk,https://www.youtube.com/results?search_query=ZAYN%20-%20PILLOWTALK%20%28Official%20Video%29
2016,Too Good,Drake,Drake - Too Good ft. Rihanna,1lbKUiZv1fI,https://www.youtube.com/results?search_query=Drake%20-%20Too%20Good%20ft.%20Rihanna
2017,Love on the brain,Rihanna,Rihanna - Love On The Brain,0RyInjfgNc4,https://www.youtube.com/results?search_query=Rihanna%20-%20Love%20On%20The%20Brain
2017,King of my castle,Wamdue Project,Wamdue Project - King of My Castle (Official HD Video),DXSyQjppqG0,https://www.youtube.com/results?search_query=Wamdue%20Project%20-%20King%20of%20My%20Castle%20%28Official%20HD%20Video%29
2017,There’s nothing holding me back,Shawn Mendes,Shawn Mendes - There's Nothing Holdin' Me Back (Official Music Video),dT2owtxkU8k,https://www.youtube.com/results?search_query=Shawn%20Mendes%20-%20There%27s%20Nothing%20Holdin%27%20Me%20Back%20%28Official%20Music%20Video%29
2017,Me rehuso,Danny Ocean,Danny Ocean -  Me Rehúso (Official Audio),aDCcLQto5BM,https://www.youtube.com/results?search_query=Danny%20Ocean%20-%20%20Me%20Reh%C3%BAso%20%28Official%20Audio%29
